Time(s)	CPU_Usage(%)
26.404	39.30
26.423	39.30
26.445	44.40
26.464	37.90
26.484	45.50
26.502	40.70
26.524	41.20
26.541	37.00
26.563	37.50
26.582	32.10
26.602	31.30
26.622	31.20
26.643	26.70
26.662	33.30
26.682	32.30
26.702	34.40
26.722	31.00
26.742	32.30
26.764	31.30
26.782	36.70
26.802	27.60
26.823	34.30
26.842	27.60
26.863	34.30
26.883	28.60
26.903	33.30
26.924	26.70
26.944	31.20
26.963	27.60
26.984	29.00
27.004	33.30
27.024	30.00
27.045	33.30
27.065	25.80
27.085	31.00
27.106	30.30
27.125	36.70
27.147	32.40
27.165	29.60
27.186	31.30
27.206	32.30
27.226	31.30
27.246	29.00
27.266	35.50
27.286	34.40
27.306	30.00
27.349	18.20
27.365	42.30
27.386	31.30
27.407	42.40
27.426	37.90
27.446	33.30
27.466	33.30
27.487	31.30
27.506	30.00
27.526	30.00
27.547	33.30
27.566	36.70
27.586	27.60
27.605	29.00
27.625	38.70
27.645	31.30
27.665	34.40
27.686	30.30
27.706	35.50
27.726	35.50
27.746	31.00
27.766	34.40
27.786	30.00
27.807	31.30
27.826	41.40
27.847	26.70
27.865	29.60
27.886	29.00
27.905	27.60
27.926	32.30
27.946	24.20
28.024	14.80
28.121	13.80
28.182	20.40
28.199	40.00
28.219	31.00
28.240	41.20
28.260	36.70
28.280	36.70
28.300	42.40
28.319	40.00
28.338	42.90
28.359	54.50
28.379	40.00
28.398	40.60
28.418	51.60
28.441	41.20
28.458	58.30
28.479	53.10
28.499	51.60
28.520	50.00
28.540	56.70
28.560	54.80
28.581	46.70
28.601	51.70
28.622	54.50
28.642	58.80
28.663	41.40
28.682	41.90
28.702	44.10
28.723	42.40
28.742	39.30
28.763	38.70
28.781	39.30
28.801	40.60
28.821	38.70
28.842	40.60
28.861	43.30
28.880	36.70
28.902	38.20
28.922	48.50
28.941	37.00
28.961	36.70
28.980	41.90
29.001	36.40
29.021	38.70
29.042	43.70
29.060	39.30
29.080	40.60
29.099	41.40
29.120	41.90
29.138	37.90
29.159	37.50
29.179	36.70
29.199	36.70
29.220	36.70
29.239	41.40
29.258	40.60
29.279	31.00
29.299	40.00
29.319	39.40
29.339	35.70
29.358	37.00
29.378	38.70
29.396	41.40
29.415	36.70
29.436	41.20
29.456	40.00
29.478	42.40
29.498	46.70
29.517	41.40
29.539	44.10
29.560	43.70
29.581	38.70
29.600	34.50
29.620	43.70
29.638	39.30
29.658	36.70
29.677	40.00
29.696	34.50
29.716	39.40
29.736	30.80
29.756	42.40
29.775	35.70
29.794	37.90
29.813	35.70
29.833	31.00
29.853	34.40
29.872	36.70
29.892	24.00
29.912	39.40
29.930	33.30
29.951	36.40
29.969	33.30
29.989	34.40
30.008	36.70
30.029	31.30
30.048	37.90
30.068	30.00
30.086	30.80
30.106	31.00
30.125	38.70
30.144	28.60
30.163	31.00
30.184	34.40
30.202	25.00
30.223	38.20
30.260	15.80
30.279	37.90
30.299	40.00
30.320	35.50
30.340	40.60
30.359	37.90
30.378	29.60
30.398	39.40
30.418	29.00
30.438	37.50
30.458	32.10
30.476	32.10
30.497	36.40
30.515	33.30
